Rk,Team,W,L,Season
1,Golden State Warriors*,67,15,2015
2,Los Angeles Clippers*,56,26,2015
3,San Antonio Spurs*,55,27,2015
4,Atlanta Hawks*,60,22,2015
5,Cleveland Cavaliers*,53,29,2015
6,Portland Trail Blazers*,51,31,2015
7,Houston Rockets*,56,26,2015
8,Memphis Grizzlies*,55,27,2015
9,Toronto Raptors*,49,33,2015
10,Chicago Bulls*,50,32,2015
11,Dallas Mavericks*,50,32,2015
12,Oklahoma City Thunder,45,37,2015
13,New Orleans Pelicans*,45,37,2015
14,Washington Wizards*,46,36,2015
15,Milwaukee Bucks*,41,41,2015
16,Indiana Pacers,38,44,2015
17,Utah Jazz,38,44,2015
18,Boston Celtics*,40,42,2015
19,Phoenix Suns,39,43,2015
20,Detroit Pistons,32,50,2015
21,Miami Heat,37,45,2015
22,Brooklyn Nets*,38,44,2015
23,Charlotte Hornets,33,49,2015
24,Denver Nuggets,30,52,2015
25,Sacramento Kings,29,53,2015
26,Orlando Magic,25,57,2015
27,Los Angeles Lakers,21,61,2015
28,Minnesota Timberwolves,16,66,2015
29,Philadelphia 76ers,18,64,2015
30,New York Knicks,17,65,2015
,,,,
,,,,
,,,,
