Rk,Team,W,L,Season 
1,Milwaukee Bucks*,60,22,2019
2,Golden State Warriors*,57,25,2019
3,Toronto Raptors*,58,24,2019
4,Utah Jazz*,50,32,2019
5,Houston Rockets*,53,29,2019
6,Boston Celtics*,49,33,2019
7,Portland Trail Blazers*,53,29,2019
8,Denver Nuggets*,54,28,2019
9,Indiana Pacers*,48,34,2019
10,Oklahoma City Thunder*,49,33,2019
11,Philadelphia 76ers*,51,31,2019
12,San Antonio Spurs*,48,34,2019
13,Los Angeles Clippers*,48,34,2019
14,Orlando Magic*,42,40,2019
15,Brooklyn Nets*,42,40,2019
16,Detroit Pistons*,41,41,2019
17,Miami Heat,39,43,2019
18,Sacramento Kings,39,43,2019
19,Charlotte Hornets,39,43,2019
20,New Orleans Pelicans,33,49,2019
21,Dallas Mavericks,33,49,2019
22,Minnesota Timberwolves,36,46,2019
23,Los Angeles Lakers,37,45,2019
24,Memphis Grizzlies,33,49,2019
25,Washington Wizards,32,50,2019
26,Atlanta Hawks,29,53,2019
27,Chicago Bulls,22,60,2019
28,New York Knicks,17,65,2019
29,Phoenix Suns,19,63,2019
30,Cleveland Cavaliers,19,63,2019
,,,,
,,,,
