Rk,Team,W,L,Season 
1,San Antonio Spurs*,67,15,2016
2,Golden State Warriors*,73,9,2016
3,Oklahoma City Thunder*,55,27,2016
4,Cleveland Cavaliers*,57,25,2016
5,Toronto Raptors*,56,26,2016
6,Los Angeles Clippers*,53,29,2016
7,Atlanta Hawks*,48,34,2016
8,Boston Celtics*,48,34,2016
9,Charlotte Hornets*,48,34,2016
10,Utah Jazz,40,42,2016
11,Miami Heat*,48,34,2016
12,Indiana Pacers*,45,37,2016
13,Portland Trail Blazers*,44,38,2016
14,Detroit Pistons*,44,38,2016
15,Houston Rockets*,41,41,2016
16,Dallas Mavericks*,42,40,2016
17,Washington Wizards,41,41,2016
18,Chicago Bulls,42,40,2016
19,Orlando Magic,35,47,2016
20,Sacramento Kings,33,49,2016
21,Memphis Grizzlies*,42,40,2016
22,New York Knicks,32,50,2016
23,Denver Nuggets,33,49,2016
24,Minnesota Timberwolves,29,53,2016
25,New Orleans Pelicans,30,52,2016
26,Milwaukee Bucks,33,49,2016
27,Phoenix Suns,23,59,2016
28,Brooklyn Nets,21,61,2016
29,Los Angeles Lakers,17,65,2016
30,Philadelphia 76ers,10,72,2016
,,,,
,,,,
